,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,RL,70.0,11200,Pave,1.0,Lvl,1.0,Inside,1.0,Sawyer,Norm,Norm,1Fam,1Story,0.4444444444444444,0.4444444444444444,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.4,906,0.0,0,134,1040,GasA,1.0,1.0,SBrkr,1040,0,0,1040,1,0,1,0,3,1,0.5,5,Typ,0,-1.0,Detchd,1965.0,0.0,1,384,0.5,0.5,Y,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
11,12,60,RL,85.0,11924,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,NridgHt,Norm,Norm,1Fam,2Story,0.8888888888888888,0.4444444444444444,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,1.0,0.5,PConc,1.0,0.5,0.0,1.0,998,0.0,0,177,1175,GasA,1.0,1.0,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,1.0,11,Typ,2,0.75,BuiltIn,2005.0,1.0,3,736,0.5,0.5,Y,147,21,0,0,0,0,0,7,2006,New,Partial,345000
12,13,20,RL,69.0,12968,Pave,0.3333333333333333,Lvl,1.0,Inside,1.0,Sawyer,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.8,737,0.0,0,175,912,GasA,0.5,1.0,SBrkr,912,0,0,912,1,0,1,0,2,1,0.5,4,Typ,0,-1.0,Detchd,1962.0,0.0,1,352,0.5,0.5,Y,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
13,14,20,RL,91.0,10652,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,CollgCr,Norm,Norm,1Fam,1Story,0.6666666666666666,0.4444444444444444,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,0.75,0.5,PConc,0.75,0.5,0.6666666666666666,0.0,0,0.0,0,1494,1494,GasA,1.0,1.0,SBrkr,1494,0,0,1494,0,0,2,0,3,1,0.75,7,Typ,1,0.75,Attchd,2006.0,0.5,3,840,0.5,0.5,Y,160,33,0,0,0,0,0,8,2007,New,Partial,279500
14,15,20,RL,69.0,10920,Pave,0.6666666666666666,Lvl,1.0,Corner,1.0,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.4444444444444444,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.6,733,0.0,0,520,1253,GasA,0.5,1.0,SBrkr,1253,0,0,1253,1,0,1,1,2,1,0.5,5,Typ,1,0.25,Attchd,1960.0,0.5,1,352,0.5,0.5,Y,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
15,16,45,RM,51.0,6120,Pave,1.0,Lvl,1.0,Corner,1.0,BrkSide,Norm,Norm,1Fam,1.5Unf,0.6666666666666666,0.7777777777777778,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.5,0.5,BrkTil,0.5,0.5,0.0,0.0,0,0.0,0,832,832,GasA,1.0,1.0,FuseA,854,0,0,854,0,0,1,0,2,1,0.5,5,Typ,0,-1.0,Detchd,1991.0,0.0,2,576,0.5,0.5,Y,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
16,17,20,RL,69.0,11241,Pave,0.6666666666666666,Lvl,1.0,CulDSac,1.0,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.6666666666666666,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.8,578,0.0,0,426,1004,GasA,1.0,1.0,SBrkr,1004,0,0,1004,1,0,1,0,2,1,0.5,5,Typ,1,0.5,Attchd,1970.0,1.0,2,480,0.5,0.5,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
17,18,90,RL,72.0,10791,Pave,1.0,Lvl,1.0,Inside,1.0,Sawyer,Norm,Norm,Duplex,1Story,0.3333333333333333,0.4444444444444444,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.5,0.5,Slab,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,0,0,GasA,0.5,1.0,SBrkr,1296,0,0,1296,0,0,2,0,2,2,0.5,6,Typ,0,-1.0,CarPort,1967.0,0.0,2,516,0.5,0.5,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
18,19,20,RL,66.0,13695,Pave,1.0,Lvl,1.0,Inside,1.0,SawyerW,RRAe,Norm,1Fam,1Story,0.4444444444444444,0.4444444444444444,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.5,PConc,0.5,0.5,0.0,1.0,646,0.0,0,468,1114,GasA,1.0,1.0,SBrkr,1114,0,0,1114,1,0,1,1,3,1,0.75,6,Typ,0,-1.0,Detchd,2004.0,0.0,2,576,0.5,0.5,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
19,20,20,RL,70.0,7560,Pave,1.0,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.2,504,0.0,0,525,1029,GasA,0.5,1.0,SBrkr,1339,0,0,1339,0,0,1,0,3,1,0.5,6,Min1,0,-1.0,Attchd,1958.0,0.0,1,294,0.5,0.5,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
20,21,60,RL,101.0,14215,Pave,0.6666666666666666,Lvl,1.0,Corner,1.0,NridgHt,Norm,Norm,1Fam,2Story,0.7777777777777778,0.4444444444444444,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,0.75,0.5,PConc,1.0,0.5,0.6666666666666666,0.0,0,0.0,0,1158,1158,GasA,1.0,1.0,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,0.75,9,Typ,1,0.75,BuiltIn,2005.0,0.5,3,853,0.5,0.5,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300
21,22,45,RM,57.0,7449,Pave,1.0,Bnk,1.0,Inside,1.0,IDOTRR,Norm,Norm,1Fam,1.5Unf,0.6666666666666666,0.6666666666666666,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.5,0.5,PConc,0.5,0.5,0.0,0.0,0,0.0,0,637,637,GasA,1.0,1.0,FuseF,1108,0,0,1108,0,0,1,0,3,1,0.75,6,Typ,1,0.75,Attchd,1930.0,0.0,1,280,0.5,0.5,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
22,23,20,RL,75.0,9742,Pave,1.0,Lvl,1.0,Inside,1.0,CollgCr,Norm,Norm,1Fam,1Story,0.7777777777777778,0.4444444444444444,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,0.75,0.5,PConc,0.75,0.5,0.0,0.0,0,0.0,0,1777,1777,GasA,1.0,1.0,SBrkr,1795,0,0,1795,0,0,2,0,3,1,0.75,7,Typ,1,0.75,Attchd,2002.0,0.5,2,534,0.5,0.5,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
23,24,120,RM,44.0,4224,Pave,1.0,Lvl,1.0,Inside,1.0,MeadowV,Norm,Norm,TwnhsE,1Story,0.4444444444444444,0.6666666666666666,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,0.5,0.5,PConc,0.75,0.5,0.0,1.0,840,0.0,0,200,1040,GasA,0.5,1.0,SBrkr,1060,0,0,1060,1,0,1,0,3,1,0.5,6,Typ,1,0.5,Attchd,1976.0,0.0,2,572,0.5,0.5,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
24,25,20,RL,69.0,8246,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,Sawyer,Norm,Norm,1Fam,1Story,0.4444444444444444,0.7777777777777778,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,0.5,0.75,CBlock,0.5,0.5,0.3333333333333333,0.4,188,0.8,668,204,1060,GasA,1.0,1.0,SBrkr,1060,0,0,1060,1,0,1,0,3,1,0.75,6,Typ,1,0.5,Attchd,1968.0,0.0,1,270,0.5,0.5,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
25,26,20,RL,110.0,14230,Pave,1.0,Lvl,1.0,Corner,1.0,NridgHt,Norm,Norm,1Fam,1Story,0.7777777777777778,0.4444444444444444,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,0.75,0.5,PConc,0.75,0.5,0.0,0.0,0,0.0,0,1566,1566,GasA,1.0,1.0,SBrkr,1600,0,0,1600,0,0,2,0,3,1,0.75,7,Typ,1,0.75,Attchd,2007.0,0.5,3,890,0.5,0.5,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
26,27,20,RL,60.0,7200,Pave,1.0,Lvl,1.0,Corner,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.6666666666666666,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.3333333333333333,0.6,234,0.4,486,180,900,GasA,0.5,1.0,SBrkr,900,0,0,900,0,1,1,0,3,1,0.75,5,Typ,0,-1.0,Detchd,2005.0,0.0,2,576,0.5,0.5,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
27,28,20,RL,98.0,11478,Pave,1.0,Lvl,1.0,Inside,1.0,NridgHt,Norm,Norm,1Fam,1Story,0.7777777777777778,0.4444444444444444,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,0.75,0.5,PConc,1.0,0.5,0.0,1.0,1218,0.0,0,486,1704,GasA,1.0,1.0,SBrkr,1704,0,0,1704,1,0,2,0,3,1,0.75,7,Typ,1,0.75,Attchd,2008.0,0.5,3,772,0.5,0.5,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
28,29,20,RL,47.0,16321,Pave,0.6666666666666666,Lvl,1.0,CulDSac,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.5,0.5,CBlock,0.5,0.5,1.0,0.6,1277,0.0,0,207,1484,GasA,0.5,1.0,SBrkr,1600,0,0,1600,1,0,1,0,2,1,0.5,6,Typ,2,0.75,Attchd,1957.0,0.5,1,319,0.5,0.5,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
29,30,30,RM,60.0,6324,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,BrkSide,Feedr,RRNn,1Fam,1Story,0.3333333333333333,0.5555555555555556,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.5,0.5,BrkTil,0.5,0.5,0.0,0.0,0,0.0,0,520,520,GasA,0.25,0.0,SBrkr,520,0,0,520,0,0,1,0,1,1,0.25,4,Typ,0,-1.0,Detchd,1920.0,0.0,1,240,0.25,0.5,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
30,31,70,C (all),50.0,8500,Pave,1.0,Lvl,1.0,Inside,1.0,IDOTRR,Feedr,Norm,1Fam,2Story,0.3333333333333333,0.3333333333333333,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,0.5,0.25,BrkTil,0.5,0.5,0.0,0.0,0,0.0,0,649,649,GasA,0.5,0.0,SBrkr,649,668,0,1317,0,0,1,0,3,1,0.5,6,Typ,0,-1.0,Detchd,1920.0,0.0,1,250,0.5,0.25,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
31,32,20,RL,69.0,8544,Pave,0.6666666666666666,Lvl,1.0,CulDSac,1.0,Sawyer,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.0,0,0.0,0,1228,1228,GasA,0.75,1.0,SBrkr,1228,0,0,1228,0,0,1,1,3,1,0.75,6,Typ,0,-1.0,Attchd,1966.0,0.0,1,271,0.5,0.5,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
32,33,20,RL,85.0,11049,Pave,1.0,Lvl,1.0,Corner,1.0,CollgCr,Norm,Norm,1Fam,1Story,0.7777777777777778,0.4444444444444444,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.75,0.5,PConc,1.0,0.5,0.6666666666666666,0.0,0,0.0,0,1234,1234,GasA,1.0,1.0,SBrkr,1234,0,0,1234,0,0,2,0,3,1,0.75,7,Typ,0,-1.0,Attchd,2007.0,0.5,2,484,0.5,0.5,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
33,34,20,RL,70.0,10552,Pave,0.6666666666666666,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.4444444444444444,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.4,1018,0.0,0,380,1398,GasA,0.75,1.0,SBrkr,1700,0,0,1700,0,1,1,1,4,1,0.75,6,Typ,1,0.75,Attchd,1959.0,0.5,2,447,0.5,0.5,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
34,35,120,RL,60.0,7313,Pave,1.0,Lvl,1.0,Inside,1.0,NridgHt,Norm,Norm,TwnhsE,1Story,0.8888888888888888,0.4444444444444444,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,1.0,0.5,PConc,1.0,0.5,0.0,1.0,1153,0.0,0,408,1561,GasA,1.0,1.0,SBrkr,1561,0,0,1561,1,0,2,0,2,1,1.0,6,Typ,1,0.75,Attchd,2005.0,1.0,2,556,0.5,0.5,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
35,36,60,RL,108.0,13418,Pave,1.0,Lvl,1.0,Inside,1.0,NridgHt,Norm,Norm,1Fam,2Story,0.7777777777777778,0.4444444444444444,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,0.75,0.5,PConc,1.0,0.5,0.6666666666666666,0.0,0,0.0,0,1117,1117,GasA,1.0,1.0,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,0.75,9,Typ,1,0.75,BuiltIn,2004.0,1.0,3,691,0.5,0.5,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
36,37,20,RL,112.0,10859,Pave,1.0,Lvl,1.0,Corner,1.0,CollgCr,Norm,Norm,1Fam,1Story,0.4444444444444444,0.4444444444444444,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.5,PConc,0.75,0.5,0.0,0.0,0,0.0,0,1097,1097,GasA,1.0,1.0,SBrkr,1097,0,0,1097,0,0,1,1,3,1,0.5,6,Typ,0,-1.0,Attchd,1995.0,0.0,2,672,0.5,0.5,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
37,38,20,RL,74.0,8532,Pave,1.0,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.4,1213,0.0,0,84,1297,GasA,0.75,1.0,SBrkr,1297,0,0,1297,0,1,1,0,3,1,0.5,5,Typ,1,0.5,Attchd,1954.0,1.0,2,498,0.5,0.5,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
38,39,20,RL,68.0,7922,Pave,1.0,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.6666666666666666,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.75,CBlock,0.5,0.5,0.0,1.0,731,0.0,0,326,1057,GasA,0.5,1.0,SBrkr,1057,0,0,1057,1,0,1,0,3,1,0.75,5,Typ,0,-1.0,Detchd,1953.0,0.0,1,246,0.5,0.5,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
39,40,90,RL,65.0,6040,Pave,1.0,Lvl,1.0,Inside,1.0,Edwards,Norm,Norm,Duplex,1Story,0.3333333333333333,0.4444444444444444,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,0.5,0.5,PConc,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,0,0,GasA,0.5,0.0,FuseP,1152,0,0,1152,0,0,2,0,2,2,0.25,6,Typ,0,-1.0,-1,-1.0,-1.0,0,0,-1.0,-1.0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000
40,41,20,RL,84.0,8658,Pave,1.0,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.5555555555555556,0.4444444444444444,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.4,643,0.0,0,445,1088,GasA,1.0,1.0,SBrkr,1324,0,0,1324,0,0,2,0,3,1,0.5,6,Typ,1,0.5,Attchd,1965.0,0.5,2,440,0.5,0.5,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
41,42,20,RL,115.0,16905,Pave,1.0,Lvl,1.0,Inside,1.0,Timber,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.75,CBlock,0.5,0.5,1.0,0.6,967,0.0,0,383,1350,GasA,0.75,1.0,SBrkr,1328,0,0,1328,0,1,1,1,2,1,0.5,5,Typ,2,0.75,Attchd,1959.0,0.5,1,308,0.5,0.5,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
42,43,85,RL,69.0,9180,Pave,0.6666666666666666,Lvl,1.0,CulDSac,1.0,SawyerW,Norm,Norm,1Fam,SFoyer,0.4444444444444444,0.6666666666666666,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,0.5,0.5,CBlock,0.75,0.5,0.6666666666666666,0.8,747,0.2,93,0,840,GasA,0.75,1.0,SBrkr,884,0,0,884,1,0,1,0,2,1,0.75,5,Typ,0,-1.0,Attchd,1983.0,0.5,2,504,0.5,0.75,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
43,44,20,RL,69.0,9200,Pave,0.6666666666666666,Lvl,1.0,CulDSac,1.0,CollgCr,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,0.5,0.5,CBlock,0.75,0.5,0.6666666666666666,0.2,280,0.6,491,167,938,GasA,0.5,1.0,SBrkr,938,0,0,938,1,0,1,0,3,1,0.5,5,Typ,0,-1.0,Detchd,1977.0,0.0,1,308,0.5,0.5,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
44,45,20,RL,70.0,7945,Pave,1.0,Lvl,1.0,Inside,1.0,NAmes,Norm,Norm,1Fam,1Story,0.4444444444444444,0.5555555555555556,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,0.5,0.5,CBlock,0.5,0.5,0.0,0.8,179,0.6,506,465,1150,GasA,1.0,1.0,FuseA,1150,0,0,1150,1,0,1,0,3,1,0.5,6,Typ,0,-1.0,Attchd,1959.0,0.5,1,300,0.5,0.5,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
45,46,120,RL,61.0,7658,Pave,1.0,Lvl,1.0,Inside,1.0,NridgHt,Norm,Norm,TwnhsE,1Story,0.8888888888888888,0.4444444444444444,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,1.0,0.5,PConc,1.0,0.5,0.0,1.0,456,0.0,0,1296,1752,GasA,1.0,1.0,SBrkr,1752,0,0,1752,1,0,2,0,2,1,1.0,6,Typ,1,0.75,Attchd,2005.0,0.5,2,576,0.5,0.5,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
